DepMap_ID,ARHGAP29 (9411) Exp,BCAR3 (8412) Exp,CCND1 (595) Exp,CDK6 (1021) Exp,CFLAR (8837) Exp,EGFR (1956) Exp,FERMT2 (10979) Exp,FOSL1 (8061) Exp,GRHL2 (79977) Exp,HNF1B (6928) Exp,ITGAV (3685) Exp,ITGB5 (3693) Exp,KLF5 (688) Exp,MDM2 (4193) Exp,MYC (4609) Exp,SNAI2 (6591) Exp,TIPARP (25976) Exp,WWTR1 (25937) Exp,YAP1 (10413) Exp,ZEB1 (6935) Exp,ZEB2 (9839) Exp,ZFP36L1 (677) Exp,EIF2AK3 (9451) Dep,MYC (4609) Dep,NQO1 (1728) Dep,SF3B1 (23451) Dep,SQSTM1 (8878) Dep
ACH-001416,4.76128527336162,5.434628227636725,8.271136166760574,3.028569152196771,4.013462259806563,4.153805336079036,2.316145742293356,2.7845039829295666,4.718635616271338,3.859969548221026,5.471187460386985,6.7786028451432125,6.659353759170051,4.483493351284395,5.7753139752538125,0.01435529297707,4.381283372503783,3.980939266085512,4.661065479806948,0.0426443374084937,0.903038270112912,4.839959587489532,0.1879675870830324,0.9999999999993532,0.0034119419157889,0.9999234605050968,0.0479580491198375
ACH-001418,5.862699340976598,5.195347598322219,7.333334278134347,3.5285713188707577,5.138323004056484,5.114367024952,3.4594316186372973,4.818646082822539,3.1391420191456887,0.01435529297707,5.864433796365624,5.76394266044725,4.867896463992655,3.085764553778314,6.130313145543456,2.0840642647884744,5.351557662450426,3.8904466926799057,5.101818134227409,0.2387868595871164,0.8318772411916731,6.431455816685719,0.0595979946523539,0.9940389034021048,0.1647903737261359,0.9999648274084224,0.0250668043167086
ACH-001419,3.300123724569014,5.898933871780176,6.903158811119866,0.2630344058337938,4.775050541483175,3.021479727410452,4.778208576398088,5.77636722957392,3.848998430400023,0.01435529297707,3.4195388915137843,6.202809492125013,4.912649864897204,8.088682251717088,5.773996325111173,1.5260688116675876,2.263034405833794,2.0426443374084937,3.918386234446348,0.3673710656485294,0.0285691521967709,6.107060110203349,0.0383191501860608,0.999923020942437,0.0491553631903607,0.9999292736348424,0.0131917772915634
ACH-001421,1.2387868595871168,3.00539998774259,0.0976107966264223,1.4698859762744636,1.3276873641760472,0.4541758931858021,4.530445354692906,0.3895668117627256,0.01435529297707,0.01435529297707,3.524815928357506,2.9597701552114675,2.538538163629804,5.981624360696356,1.070389327891398,0.0285691521967709,3.836934011321092,0.2387868595871164,0.9781956296816516,4.034743949324734,3.786596361890807,2.5897634869849773,0.0452811691606365,0.1611424247879066,0.0401376859531463,0.9997415230451796,0.0357447841813351
ACH-001422,4.017031080527841,5.603774686463973,7.189725740766969,3.324810603420484,4.471187460386985,5.263410058756341,3.1210154009613658,5.015247773698937,4.121015400961366,0.0,4.58014548442338,5.099715999160909,7.300581359795972,6.609843591599456,6.335747634299735,2.2957230245399685,4.583759753639499,4.017921907997263,6.34766565630097,0.070389327891398,0.4222330006830478,5.683696454306515,0.0114335535293226,0.9998974318615672,0.0651558599388339,1.0,0.0898587964231883
ACH-001430,0.7990873060740036,1.550900664647523,9.629666256239734,0.2265085298086797,4.298658315564516,0.933572638261024,1.3161457422933562,0.3219280948873623,0.0,0.0,4.147306698780294,2.62760683812965,0.8953026213333066,5.64587455030903,7.281141833671971,2.3757345385831563,5.220716891998917,4.139960569545456,5.922911406258192,0.2016338611696504,6.383013015488671,5.787641414483327,0.0330089742833292,0.998752819103048,0.058615006370133,0.9769835407368508,0.0203146565258359
ACH-001431,0.2265085298086797,1.3219280948873624,8.477717797572208,0.0,3.636914580355878,0.01435529297707,3.6016965164809576,0.0565835283663675,0.0,0.0,3.812498225333564,3.286881147788161,0.5753123306874368,4.150559676575382,7.31922050252387,2.007195501404204,4.376429311069923,0.8073549220576041,0.0,2.735522177296537,4.507160349117523,4.640389560054945,0.0342490108994264,0.999992918903758,0.0874309894571387,0.9962013498176672,0.0650028691670969
ACH-001433,4.493775408460703,3.2809563138310565,5.362469888750209,2.3673710656485296,4.3750394313469245,6.474111513942408,4.683696454306515,2.673556423990145,0.0,0.0,5.559185865787734,4.79960542245267,5.860217924745852,4.241840183564671,5.822985018546877,0.5849625007211562,0.7484612330040357,5.423241995973661,5.844737144060685,3.8042601156347375,0.2750070474998698,6.888499735514123,0.0168305907746532,0.9480369154601876,0.0903084763753966,0.9997798704257818,0.0471728921264112
ACH-001442,3.61706334388818,4.537296067090842,6.13360462289506,3.097610796626422,4.916476644437717,7.759289015895071,0.01435529297707,5.427270935173585,3.953265239014844,0.01435529297707,5.46401472450489,4.803743668505225,5.963474123974886,5.026800059343715,6.381456430146994,4.517905553529951,5.914564523493939,4.870364719583405,5.160274831408593,0.3448284969974411,1.2016338611696504,4.977737849242815,0.0373900193515838,0.987507654081499,0.0688448823435791,0.998678898647398,0.069278872092908
ACH-001443,2.4594316186372973,5.6760981209122185,6.526694845541976,3.488000770834068,5.761019265240484,3.790772037862,6.36649707577453,8.06716542701711,0.0,0.0,5.720278465233327,5.667892125230234,2.803227036434928,3.0303360783709588,8.310703657225108,6.693208148910016,4.683696454306515,4.505255800932163,6.388361768403335,5.51443791382931,4.897240425574799,6.899296494640169,0.0519488518580973,0.9897835115961816,0.0857100363127064,0.992959705583328,0.0783959539603069
ACH-001450,0.0,1.15704371014558,0.0285691521967709,0.3785116232537298,3.033863451866284,0.0,0.01435529297707,0.3334237337251918,0.0,0.0,0.8559896973084807,0.0565835283663675,0.8073549220576041,6.258895755075436,8.820689560559215,0.0,3.574101508089389,0.0565835283663675,0.0,2.6158870739160567,2.7676547982373463,5.40973035386445,0.0037802978758536,0.995886762450052,0.0127616112705206,0.9999907720624336,0.005991414346516
ACH-001451,3.995484518877507,4.89384755813292,2.130930869826449,2.485426827170241,4.66732447027863,4.422233000683048,5.338780943894699,6.213736095922801,0.0,0.0565835283663675,4.399854673572431,5.111865963867557,5.43095427138573,8.570690611140282,4.434294617959925,3.249445341085839,4.482848283068465,9.411193178771688,6.360364276543471,2.493134922305505,2.204766750654613,6.914803677251784,0.0481576514663811,0.9743042427138036,0.0349266894651549,0.9665129814772616,0.0644238167913769
ACH-001453,4.683134985126093,5.881419908092401,6.074676686294496,3.5046203924035524,5.445263208140443,5.821455119102458,3.2063306478710496,6.791553633388596,4.417515002885087,1.7782085763980875,4.131754090984813,4.5777309314900805,7.119148639811254,7.69939893773701,8.240791332161956,4.369466483650723,6.167919865551935,3.9411063109464313,5.911212201558612,0.0840642647884745,0.5260688116675876,5.221103725367875,0.0867304476709372,0.9990073500175902,0.1837474110046309,0.999970456656706,0.0038780745024756
ACH-001454,2.7224660244710908,3.39231742277876,9.009716667725709,2.835924074254375,6.197904697025821,5.145269856650506,2.229587922740652,3.700439718141092,3.8923910259134034,3.598126959919604,5.335569005556748,5.227278994468321,6.354205295861695,10.219773550892874,3.779259720372376,1.9297909977185967,4.621172752683435,4.110196177754199,5.424250286084049,0.3334237337251918,0.070389327891398,5.854494418154875,0.0070323422636712,0.8513877130769428,0.0460672456790798,1.0,0.0746497480508651
