DepMap_ID,ARHGAP29 (9411) Exp,ARL4C (10123) Exp,BCAR1 (9564) Exp,BCAR3 (8412) Exp,BCL2 (596) Exp,BCL2L1 (598) Exp,CCND1 (595) Exp,CCND2 (894) Exp,CCND3 (896) Exp,CCNE1 (898) Exp,CD44 (960) Exp,CDH2 (1000) Exp,CDK6 (1021) Exp,CFLAR (8837) Exp,DOCK5 (80005) Exp,DOCK7 (85440) Exp,EGFR (1956) Exp,EP300 (2033) Exp,ERBB2 (2064) Exp,EVA1A (84141) Exp,FERMT2 (10979) Exp,FGFR1 (2260) Exp,FOSL1 (8061) Exp,GPX8 (493869) Exp,GRHL2 (79977) Exp,H3C3 (8352) Exp,HNF1B (6928) Exp,IRS1 (3667) Exp,IRS2 (8660) Exp,ITGAV (3685) Exp,ITGB3 (3690) Exp,ITGB5 (3693) Exp,JUN (3725) Exp,KLF5 (688) Exp,MDM2 (4193) Exp,MYC (4609) Exp,NEDD9 (4739) Exp,PARD6B (84612) Exp,PAX8 (7849) Exp,RAC1 (5879) Exp,RHD (6007) Exp,SNAI2 (6591) Exp,SOCS3 (9021) Exp,SOX9 (6662) Exp,SQSTM1 (8878) Exp,TEAD1 (7003) Exp,TEAD3 (7005) Exp,TFAP2A (7020) Exp,TGIF1 (7050) Exp,TIPARP (25976) Exp,TP63 (8626) Exp,TRIO (7204) Exp,TWIST1 (7291) Exp,VCL (7414) Exp,WWTR1 (25937) Exp,YAP1 (10413) Exp,ZEB1 (6935) Exp,ZEB2 (9839) Exp,ZFP36L1 (677) Exp,ZNF217 (7764) Exp,EIF2AK3 (9451) Dep,MYC (4609) Dep,NQO1 (1728) Dep,SF3B1 (23451) Dep,SQSTM1 (8878) Dep
ACH-000481,1.831877241191673,2.2265085298086795,4.86195536414487,2.277984747299765,1.3504972470841332,6.051807107013298,6.475084882948782,0.0426443374084937,4.7755773609306535,4.7311832415722,2.3701642805402097,4.279471295644468,3.9231491804723087,3.984589350362457,4.008988783227255,4.101818134227409,1.5058909297299572,4.377123749129487,11.206831225432584,0.3448284969974411,2.910732661902913,0.2141248053528473,4.714795011118162,4.106850796450224,4.620586410451877,2.017921907997262,0.1110313123887439,1.0426443374084935,1.4436066514756147,4.165911938935689,0.0840642647884745,5.111448698487674,5.895544989253388,7.070603998681302,4.868390453054454,8.28438457507067,1.7311832415722,1.8953026213333068,0.2141248053528473,8.011395000908111,0.0,0.4005379295837288,1.6690267655096307,0.3448284969974411,7.982708428919908,3.673556423990145,3.493134922305505,1.01435529297707,5.928607199308951,2.967168607532628,0.0565835283663675,5.370861740085285,0.5459683691052926,4.655351828612554,2.0840642647884744,5.059614856297222,0.1634987322828795,0.1110313123887439,3.959770155211468,4.631686366311998,0.0498004268167244,0.9847020296951016,0.0224055202033997,0.999996273044198,0.0422002496942784
ACH-000483,4.869871406177713,3.4646682670034443,6.333602628268281,4.100977647724821,0.5945485495503542,6.4564776293518165,7.667111542075028,0.0840642647884745,6.852373449580268,4.938756261492295,6.651769271417989,6.556122817841175,5.039138393906958,4.657068301201576,1.9634741239748856,4.33699741660501,4.247927513443585,3.889473542531109,4.911212201558612,5.720552091605108,6.156841524588401,4.12267271882414,3.795974694206668,6.397631854106743,0.1763227726404629,0.0,0.0840642647884745,4.216454865144756,4.720278465233327,6.285956994889423,4.111031312388744,7.121844297876376,6.66519377274042,4.751677945687579,3.6392321632492775,5.742545233866053,3.500802053057157,2.298658315564515,0.7990873060740036,8.016418317406874,0.0840642647884745,3.1521834190550453,4.922673592849446,4.852498298789891,7.6516975294531875,5.436961337833602,5.156639310692087,3.130930869826449,7.049848549450561,4.657640005207824,0.6870606883398922,6.327148408298704,4.015247773698937,6.090641751917847,4.684257705058931,5.608513578151302,2.671293372481576,3.132576842670008,5.525129251203973,3.91456452349394,0.1018817171654421,0.9878393185235024,0.0271078679345223,0.9999632627160988,0.0175612006446776
ACH-000484,5.329841176530628,6.607626220845488,7.080764241488877,5.422905742612183,2.2265085298086795,6.962664693000564,6.1622906135458,0.0840642647884745,4.9886846867721655,1.2448870591235344,6.519164449806069,6.038260575175349,4.800123352826528,7.028679648504479,4.253232938538032,3.4449320489421824,6.3739961421312366,4.213347281733441,4.1715271060388135,5.17672169288105,4.729008870337863,5.313608657030487,6.637784110291324,5.773468927905194,0.070389327891398,0.8399595874895318,4.502075956045791,3.8094144442358986,3.729008870337863,6.888012585402829,3.908812907739547,7.792334805706692,7.018033222764563,2.805292455600712,3.78345665436024,7.357639971146015,3.475084882948783,3.91456452349394,5.64587455030903,7.97246290720214,0.4329594072761063,1.372952097911829,2.702657543390911,3.04788732939655,8.807161691031904,5.3026846141183785,3.4356285940520905,3.40735275114004,6.413289427135973,4.940166750482817,0.2986583155645151,6.815063017192867,0.0840642647884745,6.193377510564362,6.803743668505225,5.368069876532083,2.543495883425772,4.734438666137168,6.715344295358907,4.48155728070859,0.0402128785420178,0.6279292725690225,0.1462922131793221,0.99985033280085,0.0621068377796077
ACH-000485,1.6825732973475784,1.232660756790275,4.446917864866026,3.150559676575381,0.765534746362977,6.549207089355683,7.022145842870176,5.838699701774244,4.001802242633985,2.3950627995175777,8.772149590784542,0.01435529297707,4.10936055940423,4.072105800480419,3.307428525192248,3.0686708106650986,3.942983598187102,4.587364990936461,7.13709360897494,0.1890338243900171,0.070389327891398,0.1110313123887439,4.998195503153252,0.3448284969974411,4.032982416699428,1.3561438102252754,0.411426245726465,2.3868109464722167,1.6415460290875237,3.056583528366368,0.01435529297707,6.252097703037443,6.094447221699913,7.370948898825133,5.084489524936252,7.417346217270283,1.372952097911829,1.298658315564515,0.1890338243900171,7.909833095203083,0.1110313123887439,0.01435529297707,1.2750070474998698,5.148527425160464,8.032872249463233,3.843983844048328,3.661065479806948,1.925999418556223,6.682432841227048,4.369466483650723,0.0426443374084937,4.265286857565172,0.0,5.788946666577145,0.0840642647884745,5.527007760637202,0.0976107966264223,0.0285691521967709,6.634593268445757,3.5397791916984938,0.1263792635472075,0.9999842822099436,0.0663563629203279,0.999999996299326,0.0308038190640106
ACH-000486,5.672142432853835,4.620586410451877,6.688040447318729,4.572889668420581,0.7990873060740036,5.44857062600553,8.017643583497337,0.0,4.763411574470007,2.799087306074004,9.916715481461834,3.48155728070859,2.9708536543404835,4.147306698780294,3.381283372503784,3.859969548221026,5.625562739966372,4.20006486151431,4.863442934348041,5.2660368939953175,2.963474123974886,2.6205864104518777,8.577277752582352,5.093391153253013,4.399171093819823,1.1505596765753812,0.01435529297707,3.669026765509631,0.903038270112912,4.62993940943954,0.3673710656485294,7.734032139564931,4.916476644437717,5.048759311919856,4.95837871156634,5.453846773749929,1.819668183496456,1.5897634869849773,1.74416109557041,7.438459204423481,0.0840642647884745,3.430285272977781,2.241840183564671,3.526068811667588,6.663344619366085,4.552131108253784,3.689299160535892,4.222650022451478,4.401220862160216,3.840966704487421,5.089159131911238,6.228626318331999,1.875780063068488,5.597829097826899,6.1715271060388135,4.236492618381302,1.0285691521967708,0.5160151470036647,6.551823595721256,4.350497247084133,0.0952276026733862,0.9999999999998272,0.1308774886797577,0.999976617958826,0.0379814729449336
ACH-000487,0.1110313123887439,0.1243281350022017,2.6758159311722696,0.9560566524124028,3.839959587489532,6.648609245174544,2.3757345385831563,0.3673710656485294,8.26355090338857,3.523561956057013,5.9593064897596575,0.1890338243900171,4.2890967024199895,6.595742339474399,1.6735564239901446,3.438292851579147,0.2750070474998698,4.353323291162897,1.726831217032493,0.137503523749935,0.6229303509201767,1.2868811477881614,2.4776773275653072,0.2630344058337938,0.2265085298086797,1.2448870591235344,0.0565835283663675,0.070389327891398,3.760220946466509,2.448900951145128,2.298658315564515,1.6040713236688608,2.403267722339301,1.097610796626422,3.460742563789644,8.390082950951662,0.5849625007211562,0.4541758931858021,1.5058909297299572,6.200653436367468,4.118525848935668,0.0426443374084937,2.689299160535892,0.0285691521967709,6.281698250098829,0.2141248053528473,0.7907720378619999,0.2509615735332188,4.880195728943098,2.451540833017832,0.01435529297707,3.91169158187234,3.324810603420484,5.120186027531863,1.713695814843359,0.2509615735332188,2.786596361890807,4.40667271575583,4.015247773698937,3.944858445807539,0.0252313314477456,0.9999944944192752,0.0389878874927903,0.9999030042515592,0.0173583714525315
ACH-000488,3.2600256559614555,4.368768349090335,4.871350840634026,4.774523529590232,0.6040713236688608,5.346956889378885,9.522522684573753,0.0285691521967709,5.622344722724236,2.229587922740652,8.116135990206274,3.0250287944915226,4.1001366712854495,3.7980505147675134,4.425593577653059,3.4369613378336026,6.139960569545456,3.980939266085512,4.207111961207714,2.211012193485512,3.788685710613534,1.1375035237499351,7.124017889122889,4.536052900240209,4.840966704487421,1.292781749227846,0.0426443374084937,3.2203299548795554,1.2570106182060237,5.028569152196771,0.1890338243900171,6.174326515173915,4.725741156503952,6.170726276131552,3.937344392150232,6.299757511839318,1.111031312388744,1.1890338243900171,2.2016338611696504,7.5542051051556545,0.0426443374084937,4.726831217032493,3.130930869826449,2.4905701304462013,7.939109013042417,3.4892860226258766,4.043519493662743,4.567423757707283,5.145269856650506,3.949534933017012,6.770696925052418,5.704318677760831,1.3334237337251915,5.812754909800194,5.032982416699428,5.01435529297707,0.137503523749935,0.0565835283663675,5.702103406629387,3.349082146391089,0.043841841239188,0.9989126186811064,0.2460920983280609,0.9999302941336174,0.0266067283125178
ACH-000489,2.0531113364595623,3.526068811667588,4.4409521980296365,2.7420062108667365,0.1890338243900171,6.424586226251101,6.163699987084195,1.3448284969974411,4.078951341394822,3.0443941193584534,6.041987621651359,0.5160151470036647,2.4276061727818994,4.877253453876608,3.523561956057013,2.776103988073164,4.475733430966398,3.969012307516316,5.819412726206565,2.372952097911829,1.7048719644563528,0.8875252707415875,5.204766750654613,2.0426443374084937,3.27500704749987,0.0,2.411426245726465,2.2265085298086795,2.6530600171045644,3.843983844048328,0.4854268271702416,5.740657771623893,5.174326515173915,6.108942568660791,3.5197934862411,6.91169158187234,2.324810603420484,2.372952097911829,2.032100843167024,7.721646078418392,0.1243281350022017,0.2387868595871164,1.510961919277379,5.637204481902295,8.302456147992688,4.678071905112637,3.132576842670008,2.269033146455237,5.753283616460879,4.232660756790275,0.2630344058337938,5.289465630958221,0.0840642647884745,4.909293085823824,1.4436066514756147,5.270902649167133,0.1763227726404629,0.5058909297299572,6.250393173089506,3.5096958419333872,0.0479178585586856,0.994335279830073,0.0916784414493306,0.9870258509191884,0.078609941449785
ACH-000490,3.089159131911238,3.7803100990433753,5.0307774719925415,3.576522137920503,1.6415460290875237,5.970393537914677,5.783456654360239,4.960233671694454,4.622344722724236,3.533563348214512,7.159164949516613,0.4222330006830478,2.7092906357233577,3.405992359675837,3.418189947945766,2.3476656563009706,6.151574729766406,4.213347281733441,5.334139178838237,3.2047667506546134,2.6322682154995127,2.5160151470036647,2.572889668420581,4.360364276543471,4.120186027531863,0.0,0.0285691521967709,1.5260688116675876,1.584962500721156,4.396433531250992,0.070389327891398,3.908812907739547,5.603774686463973,6.564225720206398,4.348374075191163,6.438126479550952,2.1858665453113337,1.859969548221026,2.7070829917717063,7.740185519975438,0.0426443374084937,4.650190123496775,2.4594316186372973,2.8972404255747994,7.292321632802039,3.538538163629804,3.560714954474479,4.339850002884624,5.172327491657617,3.883620816285671,6.54101915313356,4.788163657037767,1.978195629681652,7.295814842840135,4.019701914442548,5.1622906135458,0.137503523749935,0.1110313123887439,6.265286857565172,3.040892430646901,0.02667474274156,0.982824460580869,0.1859927574896221,0.9889884277807046,0.0781855616749429
ACH-000491,0.411426245726465,6.673415087223841,5.232277010268292,1.7990873060740036,1.0071955014042038,4.895302621333307,7.796688594464146,0.0565835283663675,5.54101915313356,3.292781749227846,4.866907978143166,0.4854268271702416,3.940166750482817,3.297191416565856,3.316145742293356,3.0373822220030804,4.569855608330948,4.4154882710497,2.063502942306158,4.334139178838237,3.682573297347578,1.3161457422933562,3.3603642765434705,0.2509615735332188,0.0840642647884745,0.2141248053528473,0.0565835283663675,3.471187460386985,2.250961573533219,4.2433644256936605,0.1890338243900171,4.172327491657617,5.805292455600712,6.271089466265599,4.258518924711301,6.820561927963839,1.0,1.5360529002402097,1.15704371014558,8.511515478923835,0.1110313123887439,1.655351828612554,0.1763227726404629,0.2630344058337938,7.07189135305663,4.664482840364682,1.0772429989324606,5.390254956321868,3.775050541483175,4.3957483281790335,0.0840642647884745,5.311067102255596,0.1243281350022017,4.222650022451478,1.3785116232537298,3.670160514126634,4.388878338811989,0.4005379295837288,6.672708195622218,3.550900664647523,0.0322079464787839,0.9644019199747244,0.0987103936816325,0.9209025143627358,0.0137662873015978
ACH-000493,5.654206377944292,5.545968369105292,6.340918270272116,5.708187236020708,0.8953026213333066,6.121429908948958,6.876148551863873,0.01435529297707,5.877744249949002,3.150559676575381,10.121404005688534,6.434461432441338,4.185866545311334,5.177519202597814,2.7224660244710908,5.244887059123535,5.214901910160696,4.38543103719352,4.341985747228616,5.142413437873741,5.34766565630097,5.680324356844016,8.100294391713524,5.913368159679724,0.0426443374084937,0.8155754288625725,1.8237493603082728,4.732811872082943,2.0461417816447205,5.8671551631075145,3.595742339474399,7.3717330906226675,6.879583249612783,1.622930350920177,2.994579724215748,6.237448995639321,4.514122260170708,1.1243281350022014,3.593353770980297,8.034303767768035,0.1763227726404629,4.124328135002202,3.389566811762726,5.455820365084918,8.705390478092138,5.539158811108031,4.348374075191163,5.053545817727984,5.404630684217612,5.261906859828068,0.0840642647884745,7.531069492725954,3.912649864897204,7.282254452010578,4.455491620628468,5.516960659898823,3.465974464504069,3.7676547982373454,6.767257525746639,4.341985747228616,0.0127317235843654,0.9737781454264648,0.0775098763050797,0.996367110769919,0.0552238509819092
ACH-000495,6.404119724396124,7.216260837165056,5.076815597050831,4.609400390006429,3.158660175346498,7.852061279279172,8.592569159468638,0.1505596765753814,5.309976492370556,3.24031432933371,7.035513944027639,7.372081483534501,5.219942913954125,6.308339030139408,3.218781167784069,4.649040565634448,6.411595725320304,3.455491620628468,4.819157223674968,7.01022037272037,3.805292455600712,5.34801990922869,5.903761365128077,5.883132015657282,0.8399595874895318,0.4329594072761063,6.148324042480084,2.6599245584023783,5.744968348248875,6.468909092110591,6.652773284510777,7.347222717781361,7.648753032989572,1.8875252707415875,6.726831217032493,6.090218301653319,3.631104282365877,1.9597701552114672,6.6941837433331495,8.001351892999958,0.2630344058337938,3.097610796626422,3.9049657186840254,4.88508622529017,9.378013009667086,4.71259578044703,1.752748591407134,2.912649864897204,6.475084882948782,4.24031432933371,0.6040713236688608,7.21907169204232,0.0426443374084937,6.12742692986628,7.7309795334259235,5.5777309314900805,2.440952198029637,4.420886574975532,6.83541884047548,4.799087306074004,0.114743061479555,0.7870584990095211,0.0411014560289326,0.998567023773394,0.0945855321720628
